,MS SubClass,MS Zoning,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,Land Contour,Land Slope,Street,Lot Shape
490,2 Storey 1946 Newer,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
491,Split Foyer,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
492,1 Storey Newer All,Residential Low Density,Corner,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
493,2 Storey 1946 Older,Residential Low Density,Inside,SWISU,Feedr,Norm,1Fam,Bnk,Gtl,Pave,Reg
494,1 Storey Newer All,Residential Low Density,Inside,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
495,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
496,1 Storey Newer All,Residential Low Density,Inside,NAmes,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
497,1.5 Finished,Residential Low Density,Inside,SWISU,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
498,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
500,2 Storey 1946 Newer,Residential Low Density,Inside,NWAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
501,1 Storey 1945 older,Residential Low Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
502,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
503,1 Storey Newer All,Residential Medium Density,Inside,OldTown,Norm,Norm,2fmCon,Bnk,Mod,Pave,Reg
504,1 Storey PUD,Residential Low Density,Inside,Blmngtn,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
505,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
506,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
507,2 Storey 1946 Newer,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Mod,Pave,IR1
508,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
509,2 Storey 1946 Newer,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
510,2 Storey 1946 Older,Residential Low Density,Inside,SWISU,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
511,1 Storey PUD,Residential Medium Density,Inside,Blmngtn,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
512,1 Storey Newer All,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
513,1 Storey W/Finished Attic,Residential Low Density,Inside,BrkSide,Norm,Norm,1Fam,Bnk,Mod,Pave,Reg
515,1.5 Finished,Residential Low Density,Corner,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
516,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
517,1 Storey Newer All,Residential Low Density,Inside,Timber,PosA,PosA,1Fam,HLS,Gtl,Pave,IR1
518,2 Storey 1946 Older,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
519,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
520,2 Storey 1946 Older,Residential Medium Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
521,1 Storey Newer All,Residential Low Density,Inside,Edwards,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
522,2 Storey 1946 Newer,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Mod,Pave,Reg
523,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
524,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Low,Mod,Pave,Reg
525,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
526,1 Storey Newer All,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,HLS,Mod,Pave,IR1
527,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
528,1 Storey Newer All,Residential Low Density,Inside,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
529,2 Storey 1946 Newer,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
531,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
532,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
533,1.5 Finished,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
534,Duplex All,Residential Medium Density,Inside,Sawyer,RRAe,Norm,Duplex,Lvl,Gtl,Pave,Reg
535,1 Storey Newer All,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
536,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
537,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
538,2 Storey 1946 Newer,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
539,1.5 Finished,Residential Medium Density,Corner,OldTown,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
540,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
541,1 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
543,2 Storey 1946 Newer,Residential Low Density,CulDSac,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
544,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
545,1 Storey Newer All,Residential Low Density,CulDSac,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
546,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
547,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
548,1.5 Finished,Residential Low Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
549,1 Storey Newer All,Residential High Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
550,1.5 Finished,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
551,1.5 Finished,Residential Medium Density,Corner,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
552,1 Storey Newer All,Residential Low Density,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
553,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
554,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
556,1 Storey Newer All,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
557,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
558,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
559,1 Storey PUD,Residential Medium Density,Inside,CollgCr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
560,1.5 Finished,Residential Low Density,Inside,ClearCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
561,1 Storey Newer All,Residential Low Density,CulDSac,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
563,2 Storey 1946 Newer,Residential Low Density,Corner,ClearCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
564,1 Storey PUD,Residential High Density,Inside,NAmes,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
565,Split,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
566,Split,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
567,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
568,2 Storey 1946 Newer,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
569,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
570,Split Foyer,Residential Low Density,CulDSac,Mitchel,Norm,Norm,1Fam,Bnk,Gtl,Pave,IR1
571,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
572,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
573,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
574,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
575,1 Storey PUD,Residential Medium Density,Inside,CollgCr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
576,1 Storey 1945 older,Residential Medium Density,Corner,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
577,1 Storey Newer All,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
578,1 Storey PUD,Residential Low Density,Inside,StoneBr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
582,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
583,1 Storey PUD,Residential Medium Density,FR2,Mitchel,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
584,1.5 Finished,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
585,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
586,Split Foyer,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
587,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
588,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,RRAn,Feedr,1Fam,Bnk,Gtl,Pave,IR1
589,1 Storey Newer All,Floating Village Residential,Corner,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
590,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
591,1 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
592,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
593,1 Storey Newer All,Residential Low Density,CulDSac,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
594,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
595,2 Storey 1946 Newer,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
596,1 Storey PUD,Floating Village Residential,CulDSac,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
597,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
598,1 Storey Newer All,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
599,1.5 Finished,Residential Low Density,Corner,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
600,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
601,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
602,Family Conversion,Residential Low Density,Corner,Crawfor,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
603,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
604,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
605,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
606,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
607,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
608,1 Storey Newer All,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
609,2 Storey 1946 Newer,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
610,1 Storey Newer All,C (all),Corner,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
611,2 Storey 1946 Newer,Residential Low Density,Inside,NAmes,PosN,Norm,1Fam,Lvl,Gtl,Pave,Reg
613,2 Storey 1946 Newer,Residential Low Density,CulDSac,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
614,Split,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
615,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
617,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
618,1 Storey PUD,Residential Low Density,Inside,Veenker,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR2
619,1.5 Unfinished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Bnk,Mod,Pave,Reg
620,1 Storey Newer All,Residential Low Density,FR3,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
621,1 Storey Newer All,Residential Low Density,Corner,StoneBr,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
622,1 Storey Newer All,Residential Low Density,FR2,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
623,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,HLS,Mod,Pave,IR1
624,1.5 Finished,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
625,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
626,2 Storey 1946 Newer,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
627,2 Storey 1946 Newer,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
628,1 Storey Newer All,Residential Low Density,Corner,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,IR1
629,1.5 Finished,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
630,2 Storey 1946 Newer,Floating Village Residential,Corner,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
631,2 Storey 1946 Newer,Residential Low Density,CulDSac,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
632,1 Storey Newer All,Residential Low Density,CulDSac,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
633,Family Conversion,Residential Low Density,Inside,Edwards,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
634,1 Storey PUD,Residential Low Density,FR2,NPkVill,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
637,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
638,Duplex All,Residential High Density,Inside,Crawfor,Norm,Norm,Duplex,HLS,Gtl,Pave,Reg
639,1.5 Finished,Residential Low Density,Corner,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
640,1 Storey PUD,Residential Low Density,Inside,Blmngtn,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
641,2 Storey 1946 Newer,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
643,2 Storey 1946 Older,Residential Low Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
644,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
645,2 Storey 1946 Newer,Residential Low Density,Inside,StoneBr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
646,1 Storey Newer All,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
647,1 Storey Newer All,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
648,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
649,2 Storey 1946 Older,Residential Medium Density,Corner,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
650,1 Storey Newer All,Residential Low Density,CulDSac,Sawyer,RRAe,Norm,1Fam,Lvl,Gtl,Pave,IR1
651,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Mod,Pave,Reg
652,1 Storey 1945 older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
654,1 Storey Newer All,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
655,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
656,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
657,Split,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
658,1.5 Finished,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
659,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
660,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
661,2 Storey 1946 Newer,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
662,1 Storey Newer All,Residential Low Density,FR2,Sawyer,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
664,1 Storey Newer All,Residential Low Density,Corner,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
665,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
666,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
667,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
668,2 Storey 1946 Newer,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
669,1 Storey Newer All,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
670,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Bnk,Mod,Pave,Reg
671,1 Storey Newer All,Residential Low Density,CulDSac,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
672,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
673,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
674,1 Storey Newer All,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
675,1 Storey Newer All,Residential Low Density,CulDSac,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
676,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
677,PUD Multi,Residential Medium Density,Inside,MeadowV,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
678,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
679,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Mod,Pave,Reg
680,1 Storey Newer All,Residential Low Density,CulDSac,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
681,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
682,1 Storey Newer All,Residential Low Density,Inside,NridgHt,PosN,PosN,1Fam,Lvl,Gtl,Pave,Reg
683,1 Storey 1945 older,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
684,2 Storey 1946 Newer,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
685,1 Storey Newer All,Residential Low Density,Corner,Somerst,PosN,PosN,1Fam,Lvl,Gtl,Pave,Reg
686,1.5 Finished,Residential Medium Density,Corner,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
687,1 Storey Newer All,Residential Low Density,Inside,SawyerW,RRAe,Norm,1Fam,Lvl,Gtl,Pave,Reg
688,2 Storey 1946 Newer,Residential Low Density,Inside,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
690,Family Conversion,Residential Low Density,Corner,SWISU,Norm,Norm,2fmCon,Lvl,Gtl,Pave,IR1
691,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,RRAe,Norm,1Fam,Lvl,Gtl,Pave,IR1
693,1 Storey Newer All,Residential Low Density,FR2,Somerst,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
694,1 Storey Newer All,Residential Low Density,CulDSac,ClearCr,Norm,Norm,1Fam,Low,Sev,Pave,IR2
695,1 Storey Newer All,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
697,2 Storey PUD,Residential Low Density,Inside,NPkVill,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
698,2 Storey 1946 Older,Residential Medium Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
699,1 Storey Newer All,Residential Low Density,CulDSac,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
701,Split,Residential Low Density,Corner,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
702,Split,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
703,1.5 Finished,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
704,1 Storey 1945 older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
706,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
707,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
709,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
710,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
711,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
712,Duplex All,Residential Low Density,Corner,NAmes,Feedr,Norm,Duplex,Lvl,Gtl,Pave,Reg
713,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
714,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
715,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
716,Split Foyer,Residential Low Density,CulDSac,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
717,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
718,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
719,2 Storey 1946 Newer,Residential Low Density,Corner,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
720,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
721,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
723,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
724,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
725,1 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
726,2 Storey 1946 Newer,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
727,1 Storey Newer All,Residential Low Density,CulDSac,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
728,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
729,Split,Residential Low Density,CulDSac,NWAmes,PosN,Norm,1Fam,Lvl,Gtl,Pave,IR1
730,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
731,2 Storey 1946 Newer,Residential Low Density,Corner,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
732,1 Storey Newer All,Residential Low Density,CulDSac,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
733,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
734,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
735,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
738,1 Storey 1945 older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
739,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
740,1 Storey Newer All,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
742,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
